oeuvreLabel,auteurLabel,titre,genreLabel
Extraits de Théodote,Clément d'Alexandrie,Ἐκ τῶν Θεοδότου καὶ τῆς Ἀνατολικῆς καλουνένης Διδασκαλίας κατὰ Οὐαλεντίνου χρόνους ἐπιτομαί,
Vulgate,Jérôme de Stridon,,
Almageste,Claude Ptolémée,,traité
La Cité de Dieu,Augustin d'Hippone,De ciuitate Dei contra paganos,
De oratore,Cicéron,De oratore,essai
De oratore,Cicéron,De oratore,dialogue
De inventione,Cicéron,,
Les Confessions,Augustin d'Hippone,Confessiones,autobiographie
La Germanie,Tacite,Germania,ethnographie
La Germanie,Tacite,De origine et situ Germanorum,ethnographie
La Germanie,Tacite,Germania,non-fiction
La Germanie,Tacite,De origine et situ Germanorum,non-fiction
Annales,Tacite,Annales,essai
Annales,Tacite,Ab excessu divi Augusti,essai
Les Philippiques,Cicéron,Philippicae in Antonium,
De Republica,Cicéron,De republica,essai
L’Art poétique,Horace,,
Lettres à Lucilius,Sénèque,,essai
Lettres à Lucilius,Sénèque,,genre épistolaire
Vies parallèles,Plutarque,Βίοι Παράλληλοι,biographie
Catilinaires,Cicéron,In Catilinam,discours
Pensées pour moi-même,Marc Aurèle,Τὰ εἰς ἑαυτὸν,non-fiction
Ab Urbe condita libri,Tite-Live,Ab Urbe condĭta,historiographie
De la Trinité,Augustin d'Hippone,De Trinitate,
De Legibus,Cicéron,,essai
De Officiis,Cicéron,De Officiis,essai
La Vie heureuse,Sénèque,De vita beata,essai
Géographie,Claude Ptolémée,Γεωγραφικὴ Ὑφήγησις,atlas
Géographie,Claude Ptolémée,Γεωγραφικὴ Ὑφήγησις,traité
Dialogus de oratoribus,Tacite,Dialogus de oratoribus,dialogue
Vie des douze Césars,Suétone,Dē vītā Caesarum,traité
De Vita Agricolae,Tacite,Agricola,monographie
De Vita Agricolae,Tacite,De vita et moribus Iulii Agricolae,monographie
Epitoma rei militaris,Végèce,,essai
Histoires,Tacite,Historiae,
De Trinitate,Hilaire de Poitiers,De trinitate,
De la colère,Sénèque,,
Entretiens d'Épictète,Arrien,Αἱ κατ' Ἀρριανὸν Διατριβαί,
Entretiens d'Épictète,Arrien,Διατριβαί,
Épigrammes,Martial,Epigrammata,satire
Épigrammes,Martial,Epigrammaton libri XII,satire
Épigrammes,Martial,Epigrammata,épigramme
Épigrammes,Martial,Epigrammaton libri XII,épigramme
L'Histoire d'Alexandre le Grand,Quinte-Curce,Historiae Alexandri Magni Macedonis,biographie
L'Histoire d'Alexandre le Grand,Quinte-Curce,Historiae Alexandri Magni Macedonis,chronique
Descriptions of Statues,Callistratus,,
De medicina praecepta,Quintus Serenus Sammonicus,,
Aide-mémoire de Ampelius,Lucius Ampelius,,
Fabulae,Hyginus,,mythographie
Éphéméride de la guerre de Troie,Lucius Septimius,Ephēmeris bellī Trōiānī,roman
De iure civili libri tres,Marcus Junius Brutus,,
fragments de Quadrat,Quadrat d'Athènes,,
Passion de Perpétue et de Félicité,Perpétue,Passio sanctarum Perpetuae et Felicitatis,hagiographie
Cynegetica,Oppien de Syrie,,
Punica,Silius Italicus,Punica,épopée
Abrégé de l'histoire romaine,Eutrope,Breviarium ab urbe condita,historiographie
Octavius,Minucius Félix,,dialogue
Ora maritima,Avienus,,
Polyhistor,Caius Julius Solinus,,
Antigone,Lucius Accius,,
La Justice des armes,Lucius Accius,,
Factorum ac dictorum memorabilium libri IX,Valère Maxime,,
Médée,Lucius Accius,,
Philoctète,Lucius Accius,,
Prométhée,Lucius Accius,,
Saturnales,Macrobe,,dialogue
De aquæductibus urbis Romæ,Frontin,,
Epitome of Roman History,Florus,,
Les Stratagèmes,Frontin,Strategemata,traité
A Description of the World,Pomponius Mela,,
Strategemata,Polyen,,
Achille,Lucius Accius,,
Alceste,Lucius Accius,Alcestis,
Andromède,Lucius Accius,,
Astyanax,Lucius Accius,,
Hécube,Lucius Accius,Hecuba,
Phéniciennes,Lucius Accius,,
Histoire ecclésiastique,Philostorge,,
Histoire des empereurs romains de Marc Aurèle à Gordien III,Hérodien,Τῆς μετὰ Μάρκον βασιλείας ἱστορίαι,
De verborum significatione,Festus Grammaticus,De Verborum Significatione Libri XX,
Aratea,Avienus,Aratea,poème
Varia Historia,Claude Élien,Ποικίλη Ἱστορία,
Varia Historia,Claude Élien,Varia Historia,
De Natura Animalium,Claude Élien,Περὶ Ζῴων Ἰδιότητος,
De Natura Animalium,Claude Élien,De Natura Animalium,
Philippic History,Trogue Pompée,,
Manuel de grammaire,Priscien de Césarée,,
Atrée,Lucius Accius,,
Satires,Perse,Saturae,
On Prodigies,Julius Obsequens,,
Troyennes,Lucius Accius,Troades,
Saturae,Lucilius,,
Pasteur d'Hermas,Hermas,,
Vie d'Apollonios de Tyane,Philostrate d'Athènes,Τὰ ἐς τὸν Τυανέα Ἀπολλώνιον,biographie
Distiques de Caton,Dionysius Cato,,poésie didactique
Sur les maladies aiguës et les maladies chroniques,Caelius Aurelianus,De morbis acutis et chronicis,
Lives of the Sophists,Philostrate d'Athènes,,
